year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,12,WN,Southwest Airlines Co.,PVD,"Providence, RI: Theodore Francis Green State",1004.0,189.0,50.64,2.97,30.98,1.73,102.68,14.0,4.0,9952.0,2667.0,86.0,1014.0,49.0,6136.0
2013,6,EV,ExpressJet Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",294.0,66.0,23.71,1.96,19.53,0.0,20.8,9.0,0.0,4087.0,1231.0,182.0,872.0,0.0,1802.0
2009,2,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",84.0,28.0,11.45,0.0,15.36,0.0,1.19,0.0,0.0,1283.0,744.0,0.0,475.0,0.0,64.0
2020,3,AS,Alaska Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",62.0,7.0,3.0,0.0,1.24,0.0,2.76,3.0,0.0,343.0,211.0,0.0,29.0,0.0,103.0
2022,2,G4,Allegiant Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",53.0,9.0,3.54,0.0,0.61,0.0,4.85,5.0,1.0,656.0,305.0,0.0,15.0,0.0,336.0
2021,12,F9,Frontier Airlines Inc.,ELP,"El Paso, TX: El Paso International",33.0,9.0,5.07,0.0,0.45,0.0,3.48,1.0,0.0,439.0,200.0,0.0,38.0,0.0,201.0
2019,10,OO,SkyWest Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",124.0,4.0,2.0,0.0,1.57,0.0,0.43,0.0,0.0,109.0,60.0,0.0,36.0,0.0,13.0
2022,4,QX,Horizon Air,MSO,"Missoula, MT: Missoula International",60.0,8.0,2.23,0.0,2.66,0.0,3.11,0.0,1.0,198.0,55.0,0.0,80.0,0.0,63.0
2007,5,XE,ExpressJet Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",169.0,40.0,10.05,0.0,11.65,0.0,18.3,0.0,0.0,2816.0,785.0,0.0,658.0,0.0,1373.0
2021,10,YV,Mesa Airlines Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",33.0,18.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,915.0,460.0,193.0,262.0,0.0,0.0
2008,12,AS,Alaska Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",43.0,9.0,2.39,2.27,3.34,0.0,1.0,1.0,0.0,411.0,67.0,146.0,111.0,0.0,87.0
2004,5,RU,ExpressJet Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",152.0,23.0,4.94,3.42,12.89,0.0,1.75,3.0,0.0,1341.0,183.0,296.0,686.0,0.0,176.0
2021,9,OO,SkyWest Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0
2007,8,NW,Northwest Airlines Inc.,BOS,"Boston, MA: Logan International",385.0,117.0,37.74,6.36,52.18,0.0,20.72,3.0,0.0,5210.0,1963.0,399.0,1714.0,0.0,1134.0
2019,5,DL,Delta Air Lines Inc.,ORF,"Norfolk, VA: Norfolk International",262.0,28.0,16.33,0.0,4.62,0.0,7.05,0.0,1.0,1527.0,904.0,0.0,210.0,0.0,413.0
2012,9,FL,AirTran Airways Corporation,DSM,"Des Moines, IA: Des Moines International",52.0,3.0,1.0,0.0,0.5,0.0,1.5,1.0,0.0,160.0,73.0,0.0,22.0,0.0,65.0
2007,1,UA,United Air Lines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",63.0,20.0,6.57,0.17,5.06,0.0,8.2,0.0,0.0,1062.0,278.0,6.0,153.0,0.0,625.0
2009,3,XE,ExpressJet Airlines Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",213.0,41.0,10.1,3.36,16.71,0.56,10.26,5.0,1.0,2262.0,458.0,327.0,919.0,15.0,543.0
2009,1,NW,Northwest Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",77.0,9.0,3.27,0.0,3.79,0.0,1.94,0.0,1.0,289.0,131.0,0.0,86.0,0.0,72.0
2008,1,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",62.0,11.0,4.14,2.46,2.98,0.0,1.42,5.0,0.0,904.0,404.0,143.0,138.0,0.0,219.0
2010,6,WN,Southwest Airlines Co.,PHL,"Philadelphia, PA: Philadelphia International",1464.0,305.0,68.87,26.18,68.34,0.03,141.57,3.0,5.0,17534.0,3625.0,1971.0,3136.0,2.0,8800.0
2012,2,DL,Delta Air Lines Inc.,TUS,"Tucson, AZ: Tucson International",76.0,6.0,1.8,0.26,2.6,0.0,1.35,0.0,0.0,384.0,60.0,8.0,92.0,0.0,224.0
2021,9,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",554.0,97.0,37.35,0.95,33.71,0.58,24.41,3.0,2.0,5784.0,2318.0,359.0,1428.0,60.0,1619.0
2018,8,B6,JetBlue Airways,BTV,"Burlington, VT: Burlington International",93.0,29.0,11.64,2.47,5.24,0.0,9.65,5.0,0.0,2981.0,990.0,484.0,211.0,0.0,1296.0
2019,8,EV,ExpressJet Airlines LLC,AVL,"Asheville, NC: Asheville Regional",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,3,YV,Mesa Airlines Inc.,MRY,"Monterey, CA: Monterey Regional",77.0,14.0,7.18,2.0,2.9,0.0,1.92,1.0,0.0,848.0,439.0,129.0,157.0,0.0,123.0
2014,5,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1006.0,240.0,63.61,10.18,93.02,0.0,73.2,18.0,0.0,15428.0,3398.0,935.0,4686.0,0.0,6409.0
2013,7,EV,ExpressJet Airlines Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",32.0,9.0,2.87,0.75,3.61,0.0,1.77,0.0,0.0,531.0,189.0,57.0,166.0,0.0,119.0
2008,6,FL,AirTran Airways Corporation,DCA,"Washington, DC: Ronald Reagan Washington National",248.0,59.0,6.72,0.0,26.22,0.0,26.06,3.0,3.0,3974.0,314.0,0.0,2163.0,0.0,1497.0
